region_code,region_name,level,category_code,category_name,source_category_code,published_count,population_denominator,pct_all_residents,reference_date,source_url
0162,Danderyd,municipality,PARENT_FOREIGN_BORN,Nacidos fuera de Suecia,08,5648,32500,17.378462,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0162,Danderyd,municipality,PARENT_BOTH_FOREIGN,Nacidos en Suecia · ambos padres fuera,4,1276,32500,3.926154,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0162,Danderyd,municipality,PARENT_MIXED,Nacidos en Suecia · un padre fuera,5,3392,32500,10.436923,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0162,Danderyd,municipality,PARENT_BOTH_SWEDEN,Nacidos en Suecia · ambos padres en Suecia,6,22187,32500,68.267692,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0163,Sollentuna,municipality,PARENT_FOREIGN_BORN,Nacidos fuera de Suecia,08,23498,78033,30.112901,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0163,Sollentuna,municipality,PARENT_BOTH_FOREIGN,Nacidos en Suecia · ambos padres fuera,4,7695,78033,9.861213,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0163,Sollentuna,municipality,PARENT_MIXED,Nacidos en Suecia · un padre fuera,5,7568,78033,9.698461,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0163,Sollentuna,municipality,PARENT_BOTH_SWEDEN,Nacidos en Suecia · ambos padres en Suecia,6,39271,78033,50.326144,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0180,Stockholm,municipality,PARENT_FOREIGN_BORN,Nacidos fuera de Suecia,08,263892,999239,26.409297,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0180,Stockholm,municipality,PARENT_BOTH_FOREIGN,Nacidos en Suecia · ambos padres fuera,4,88527,999239,8.859442,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0180,Stockholm,municipality,PARENT_MIXED,Nacidos en Suecia · un padre fuera,5,108135,999239,10.821735,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0180,Stockholm,municipality,PARENT_BOTH_SWEDEN,Nacidos en Suecia · ambos padres en Suecia,6,538683,999239,53.909325,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
