district_id,district_name,municipality_name,county_name,election_year,population_year,rest_world_unknown_pct,svmp_vote_pct,votes_s,votes_v,votes_mp,valid_votes,rest_world_unknown_residents_estimated,birth_population_estimated,coverage_quality,election_status
01230212,Kyrkbyn,Järfälla,Stockholm,2026,2025,28.236621343809706,50.0,144,74,54,544,148.825276,527.064744,high_coverage,provisional
01230213,Västra Barkarbystaden,Järfälla,Stockholm,2026,2025,32.879867004772805,56.36856368563686,123,72,13,369,133.577943,406.260594,high_coverage,provisional
01230306,Fjällen,Järfälla,Stockholm,2026,2025,10.445973447312,39.45454545454545,327,51,56,1100,170.996249,1636.958488,high_coverage,provisional
01230307,Sandvik,Järfälla,Stockholm,2026,2025,12.960239184362802,40.01542020046261,367,80,72,1297,264.000426,2037.00273,high_coverage,provisional
01230308,Hummelmora,Järfälla,Stockholm,2026,2025,15.184983252536439,37.68366464995678,315,83,38,1157,275.000305,1811.001701,high_coverage,provisional
01230309,Centrala Viksjö Södra,Järfälla,Stockholm,2026,2025,14.474890143079165,40.89574155653451,443,79,35,1362,316.999756,2189.997664,high_coverage,provisional
01230310,Lund,Järfälla,Stockholm,2026,2025,11.378010158128548,36.83148335015136,257,80,28,991,180.000195,1582.000653,high_coverage,provisional
01230311,Fastebol,Järfälla,Stockholm,2026,2025,12.304176153284207,37.36842105263158,343,84,70,1330,258.860444,2103.842149,high_coverage,provisional
01230312,Centrala Viksjö Norra,Järfälla,Stockholm,2026,2025,21.299140651850422,48.22294022617125,390,154,53,1238,481.997629,2262.990967,high_coverage,provisional
01230313,Högby,Järfälla,Stockholm,2026,2025,16.542788801504397,40.66945606694561,354,78,54,1195,306.540613,1853.016542,high_coverage,provisional
01230413,Tallbohov,Järfälla,Stockholm,2026,2025,49.24417164969785,75.97402597402598,161,176,14,462,716.99258,1455.994803,high_coverage,provisional
01230414,Olovslund,Järfälla,Stockholm,2026,2025,14.891741457911186,34.70948012232416,284,99,71,1308,322.55782,2166.018131,high_coverage,provisional
01230415,Norra Vibblaby,Järfälla,Stockholm,2026,2025,30.540252924068675,53.34088335220838,311,115,45,883,563.482921,1845.049949,high_coverage,provisional
01230416,Västerby,Järfälla,Stockholm,2026,2025,27.097796666281166,48.04031354983203,262,112,55,893,506.993099,1870.975361,high_coverage,provisional
01230417,Grönvreten,Järfälla,Stockholm,2026,2025,15.110749653990679,42.1505376344086,257,56,79,930,225.349906,1491.321815,high_coverage,provisional
01230418,Snapphanen,Järfälla,Stockholm,2026,2025,46.5671675105488,74.41601779755284,335,310,24,899,1091.916891,2344.821361,high_coverage,provisional
01230419,Norra Nyberg,Järfälla,Stockholm,2026,2025,49.58496885192908,75.11415525114155,198,114,17,438,848.015734,1710.227421,high_coverage,provisional
01230420,Hammaren,Järfälla,Stockholm,2026,2025,36.53961301901443,62.552831783601015,450,247,43,1183,905.207036,2477.330659,high_coverage,provisional
01230421,Dackevägen,Järfälla,Stockholm,2026,2025,46.06122596770292,70.0,347,243,26,880,918.000462,1993.000496,high_coverage,provisional
01230422,Centrala Jakobsberg,Järfälla,Stockholm,2026,2025,44.25987990296435,58.71934604904632,258,142,31,734,718.255635,1622.814243,high_coverage,provisional
01230423,Södra Aspnäs,Järfälla,Stockholm,2026,2025,43.46959609889024,62.53481894150418,301,117,31,718,708.855529,1630.692697,high_coverage,provisional
01230424,Ekedal,Järfälla,Stockholm,2026,2025,39.44878752596696,61.359223300970875,392,189,51,1030,832.2945,2109.810091,high_coverage,provisional
01230425,Norra Aspnäs,Järfälla,Stockholm,2026,2025,37.4543887322849,57.014388489208635,205,90,22,556,246.843613,659.051239,high_coverage,provisional
01230426,Vattmyra,Järfälla,Stockholm,2026,2025,21.64545675367406,46.333333333333336,330,137,89,1200,406.678129,1878.815188,high_coverage,provisional
01230427,Berghem/Polhem,Järfälla,Stockholm,2026,2025,23.935500448804596,35.58106169296987,347,100,49,1394,950.354696,3970.481829,high_coverage,provisional
01230428,Södra Vibblaby,Järfälla,Stockholm,2026,2025,40.80407159279624,61.152416356877325,394,204,60,1076,1044.246788,2559.173012,high_coverage,provisional
01230429,Södra Nyberg,Järfälla,Stockholm,2026,2025,43.5217440035091,73.07692307692308,224,181,13,572,603.972985,1387.74996,high_coverage,provisional
01230430,Riddarparken,Järfälla,Stockholm,2026,2025,43.469574655444724,70.1923076923077,242,177,19,624,284.354699,654.146495,high_coverage,provisional
01230528,Lädersättra,Järfälla,Stockholm,2026,2025,24.11350300311395,51.52963671128107,385,90,64,1046,544.001947,2256.005471,high_coverage,provisional
01230529,Centrala Kallhäll,Järfälla,Stockholm,2026,2025,17.023160672658793,49.111111111111114,404,138,121,1350,389.998016,2290.984756,high_coverage,provisional
01230530,Emaljvägen/Kopparvägen,Järfälla,Stockholm,2026,2025,24.080234270364883,55.26315789473684,469,163,82,1292,575.997731,2391.993884,high_coverage,provisional
01230531,Ulvsättra/Skogstorp,Järfälla,Stockholm,2026,2025,23.342394714816184,49.79973297730307,209,90,74,749,507.297421,2173.287819,high_coverage,provisional
01230532,Kolarängen/Villastaden,Järfälla,Stockholm,2026,2025,14.981626745858854,45.96518987341772,345,144,92,1264,334.969961,2235.871756,high_coverage,provisional
01230533,Stäket,Järfälla,Stockholm,2026,2025,10.848425892807803,30.061728395061728,342,62,83,1620,280.00089,2581.027817,high_coverage,provisional
01230534,Bolinder strand,Järfälla,Stockholm,2026,2025,9.848203526568131,36.44793152639087,353,53,105,1402,187.894938,1907.910793,high_coverage,provisional
01230535,Lilla Ulvsättra,Järfälla,Stockholm,2026,2025,33.66280209706284,71.59590043923865,274,192,23,683,217.702263,646.714621,high_coverage,provisional
01250101,Munsö,Ekerö,Stockholm,2026,2025,4.185176894642134,24.31077694235589,126,27,41,798,54.041392,1291.257057,high_coverage,provisional
01250201,Adelsö,Ekerö,Stockholm,2026,2025,7.019703720061299,33.140655105973025,117,20,35,519,57.000006,812.000168,high_coverage,provisional
01250301,Ekerö 1 Ekebyhov-Gällstaö,Ekerö,Stockholm,2026,2025,6.632644414130816,29.023972602739725,212,44,83,1168,180.969956,2728.473663,high_coverage,provisional
01250302,Ekerö 2 Ekebyhov Västra,Ekerö,Stockholm,2026,2025,8.850433273341176,42.51668255481411,312,72,62,1049,116.741068,1319.043536,high_coverage,provisional
01250303,Ekerö 3 Ekerö-Väsby,Ekerö,Stockholm,2026,2025,4.854555979056619,35.37190082644628,321,32,75,1210,63.349625,1304.951993,high_coverage,provisional
01250304,Ekerö 4 Träkvista-Skärvik,Ekerö,Stockholm,2026,2025,2.9949012863723166,23.32089552238806,165,20,65,1072,50.165881,1675.042888,high_coverage,provisional
01250305,Ekerö 5 Närlunda,Ekerö,Stockholm,2026,2025,8.143787930873872,26.71641791044776,115,14,50,670,193.517321,2376.25688,high_coverage,provisional
