district_id,district_name,municipality_name,county_name,election_year,population_year,rest_world_unknown_pct,sv_vote_pct,votes_s,votes_v,valid_votes,rest_world_unknown_residents_estimated,birth_population_estimated,coverage_quality,election_status
01230207,Barkarbystaden,Järfälla,Stockholm,2026,2025,36.390878566879906,57.467853610286845,327,254,1011,1097.888034,3016.931927,high_coverage,provisional
01230208,Kalvshälla,Järfälla,Stockholm,2026,2025,29.239666600546983,56.374807987711215,481,253,1302,919.674164,3145.296342,high_coverage,provisional
01230209,Karlslund,Järfälla,Stockholm,2026,2025,33.272934728856676,49.86772486772487,253,124,756,453.53784,1363.08337,high_coverage,provisional
01230210,Dragonbacken,Järfälla,Stockholm,2026,2025,35.06784300688496,60.11994002998501,248,153,667,723.087059,2061.966169,high_coverage,provisional
01230211,Ålsta,Järfälla,Stockholm,2026,2025,36.01067984531616,59.624413145539904,216,165,639,279.720716,776.77155,high_coverage,provisional
01230212,Kyrkbyn,Järfälla,Stockholm,2026,2025,28.236621343809706,40.0735294117647,144,74,544,148.825276,527.064744,high_coverage,provisional
01230213,Västra Barkarbystaden,Järfälla,Stockholm,2026,2025,32.879867004772805,52.84552845528455,123,72,369,133.577943,406.260594,high_coverage,provisional
01230306,Fjällen,Järfälla,Stockholm,2026,2025,10.445973447312,34.36363636363637,327,51,1100,170.996249,1636.958488,high_coverage,provisional
01230307,Sandvik,Järfälla,Stockholm,2026,2025,12.960239184362802,34.46414803392444,367,80,1297,264.000426,2037.00273,high_coverage,provisional
01230308,Hummelmora,Järfälla,Stockholm,2026,2025,15.184983252536439,34.39930855661193,315,83,1157,275.000305,1811.001701,high_coverage,provisional
01230309,Centrala Viksjö Södra,Järfälla,Stockholm,2026,2025,14.474890143079165,38.32599118942731,443,79,1362,316.999756,2189.997664,high_coverage,provisional
01230310,Lund,Järfälla,Stockholm,2026,2025,11.378010158128548,34.006054490413725,257,80,991,180.000195,1582.000653,high_coverage,provisional
01230311,Fastebol,Järfälla,Stockholm,2026,2025,12.304176153284207,32.10526315789474,343,84,1330,258.860444,2103.842149,high_coverage,provisional
01230312,Centrala Viksjö Norra,Järfälla,Stockholm,2026,2025,21.299140651850422,43.941841680129244,390,154,1238,481.997629,2262.990967,high_coverage,provisional
01230313,Högby,Järfälla,Stockholm,2026,2025,16.542788801504397,36.15062761506276,354,78,1195,306.540613,1853.016542,high_coverage,provisional
01230413,Tallbohov,Järfälla,Stockholm,2026,2025,49.24417164969785,72.94372294372295,161,176,462,716.99258,1455.994803,high_coverage,provisional
01230414,Olovslund,Järfälla,Stockholm,2026,2025,14.891741457911186,29.281345565749234,284,99,1308,322.55782,2166.018131,high_coverage,provisional
01230415,Norra Vibblaby,Järfälla,Stockholm,2026,2025,30.540252924068675,48.24462061155153,311,115,883,563.482921,1845.049949,high_coverage,provisional
01230416,Västerby,Järfälla,Stockholm,2026,2025,27.097796666281166,41.881298992161256,262,112,893,506.993099,1870.975361,high_coverage,provisional
01230417,Grönvreten,Järfälla,Stockholm,2026,2025,15.110749653990679,33.655913978494624,257,56,930,225.349906,1491.321815,high_coverage,provisional
01230418,Snapphanen,Järfälla,Stockholm,2026,2025,46.5671675105488,71.74638487208009,335,310,899,1091.916891,2344.821361,high_coverage,provisional
01230419,Norra Nyberg,Järfälla,Stockholm,2026,2025,49.58496885192908,71.23287671232876,198,114,438,848.015734,1710.227421,high_coverage,provisional
01230420,Hammaren,Järfälla,Stockholm,2026,2025,36.53961301901443,58.918005071851226,450,247,1183,905.207036,2477.330659,high_coverage,provisional
01230421,Dackevägen,Järfälla,Stockholm,2026,2025,46.06122596770292,67.04545454545455,347,243,880,918.000462,1993.000496,high_coverage,provisional
01230422,Centrala Jakobsberg,Järfälla,Stockholm,2026,2025,44.25987990296435,54.49591280653951,258,142,734,718.255635,1622.814243,high_coverage,provisional
01230423,Södra Aspnäs,Järfälla,Stockholm,2026,2025,43.46959609889024,58.21727019498607,301,117,718,708.855529,1630.692697,high_coverage,provisional
01230424,Ekedal,Järfälla,Stockholm,2026,2025,39.44878752596696,56.407766990291265,392,189,1030,832.2945,2109.810091,high_coverage,provisional
01230425,Norra Aspnäs,Järfälla,Stockholm,2026,2025,37.4543887322849,53.05755395683453,205,90,556,246.843613,659.051239,high_coverage,provisional
01230426,Vattmyra,Järfälla,Stockholm,2026,2025,21.64545675367406,38.916666666666664,330,137,1200,406.678129,1878.815188,high_coverage,provisional
01230427,Berghem/Polhem,Järfälla,Stockholm,2026,2025,23.935500448804596,32.06599713055954,347,100,1394,950.354696,3970.481829,high_coverage,provisional
01230428,Södra Vibblaby,Järfälla,Stockholm,2026,2025,40.80407159279624,55.57620817843866,394,204,1076,1044.246788,2559.173012,high_coverage,provisional
01230429,Södra Nyberg,Järfälla,Stockholm,2026,2025,43.5217440035091,70.8041958041958,224,181,572,603.972985,1387.74996,high_coverage,provisional
01230430,Riddarparken,Järfälla,Stockholm,2026,2025,43.469574655444724,67.1474358974359,242,177,624,284.354699,654.146495,high_coverage,provisional
01230528,Lädersättra,Järfälla,Stockholm,2026,2025,24.11350300311395,45.411089866156786,385,90,1046,544.001947,2256.005471,high_coverage,provisional
01230529,Centrala Kallhäll,Järfälla,Stockholm,2026,2025,17.023160672658793,40.148148148148145,404,138,1350,389.998016,2290.984756,high_coverage,provisional
01230530,Emaljvägen/Kopparvägen,Järfälla,Stockholm,2026,2025,24.080234270364883,48.916408668730654,469,163,1292,575.997731,2391.993884,high_coverage,provisional
01230531,Ulvsättra/Skogstorp,Järfälla,Stockholm,2026,2025,23.342394714816184,39.91989319092123,209,90,749,507.297421,2173.287819,high_coverage,provisional
01230532,Kolarängen/Villastaden,Järfälla,Stockholm,2026,2025,14.981626745858854,38.686708860759495,345,144,1264,334.969961,2235.871756,high_coverage,provisional
01230533,Stäket,Järfälla,Stockholm,2026,2025,10.848425892807803,24.938271604938272,342,62,1620,280.00089,2581.027817,high_coverage,provisional
01230534,Bolinder strand,Järfälla,Stockholm,2026,2025,9.848203526568131,28.958630527817405,353,53,1402,187.894938,1907.910793,high_coverage,provisional
01230535,Lilla Ulvsättra,Järfälla,Stockholm,2026,2025,33.66280209706284,68.22840409956076,274,192,683,217.702263,646.714621,high_coverage,provisional
01250101,Munsö,Ekerö,Stockholm,2026,2025,4.185176894642134,19.172932330827066,126,27,798,54.041392,1291.257057,high_coverage,provisional
01250201,Adelsö,Ekerö,Stockholm,2026,2025,7.019703720061299,26.396917148362235,117,20,519,57.000006,812.000168,high_coverage,provisional
01250301,Ekerö 1 Ekebyhov-Gällstaö,Ekerö,Stockholm,2026,2025,6.632644414130816,21.91780821917808,212,44,1168,180.969956,2728.473663,high_coverage,provisional
01250302,Ekerö 2 Ekebyhov Västra,Ekerö,Stockholm,2026,2025,8.850433273341176,36.60629170638703,312,72,1049,116.741068,1319.043536,high_coverage,provisional
01250303,Ekerö 3 Ekerö-Väsby,Ekerö,Stockholm,2026,2025,4.854555979056619,29.173553719008265,321,32,1210,63.349625,1304.951993,high_coverage,provisional
01250304,Ekerö 4 Träkvista-Skärvik,Ekerö,Stockholm,2026,2025,2.9949012863723166,17.257462686567163,165,20,1072,50.165881,1675.042888,high_coverage,provisional
01250305,Ekerö 5 Närlunda,Ekerö,Stockholm,2026,2025,8.143787930873872,19.253731343283583,115,14,670,193.517321,2376.25688,high_coverage,provisional
01250306,Ekerö 6 Älvnäs,Ekerö,Stockholm,2026,2025,5.6796142518622235,20.995475113122172,203,29,1105,113.969888,2006.648391,high_coverage,provisional
01250307,Ekerö 7 Sundby Helgö,Ekerö,Stockholm,2026,2025,4.319269071867898,19.221604447974585,207,35,1259,77.79538,1801.123725,high_coverage,provisional
01250308,Ekerö 8 Ekerö centrum,Ekerö,Stockholm,2026,2025,7.787984858753147,34.66872110939907,189,36,649,46.531219,597.474441,high_coverage,provisional
01250309,Ekerö 9 Träkvista,Ekerö,Stockholm,2026,2025,5.78104290494933,21.333333333333332,124,20,675,77.825242,1346.214572,high_coverage,provisional
01250310,Ekerö 10 Sandudden,Ekerö,Stockholm,2026,2025,3.10951433104249,17.99787007454739,155,14,939,47.329367,1522.082292,high_coverage,provisional
01250401,Lovö,Ekerö,Stockholm,2026,2025,3.9331655265177314,22.950819672131146,120,34,671,38.848706,987.721105,high_coverage,provisional
01250901,Färingsö 1 Färingsö Norra,Ekerö,Stockholm,2026,2025,5.233464329490312,23.18435754189944,195,54,1074,86.065008,1644.513129,high_coverage,provisional
01250902,Färingsö 2 Färentuna Hilleshög,Ekerö,Stockholm,2026,2025,5.8643662479260845,24.356223175965667,185,42,932,81.78416,1394.595026,high_coverage,provisional
01250903,Färingsö 3 Svartsjö Sånga,Ekerö,Stockholm,2026,2025,4.695699342003568,22.916666666666668,118,47,720,67.614298,1439.91966,high_coverage,provisional
01250904,Färingsö 4 Stenhamra Södra,Ekerö,Stockholm,2026,2025,3.961075563211439,26.97201017811705,284,34,1179,62.551821,1579.162528,high_coverage,provisional
01250905,Färingsö 5 Stenhamra Norra,Ekerö,Stockholm,2026,2025,4.893992778282386,27.107887579329102,247,52,1103,81.420954,1663.691748,high_coverage,provisional
01250906,Färingsö 6 Skå,Ekerö,Stockholm,2026,2025,5.103973524224728,19.879518072289155,155,43,996,80.4811,1576.832239,high_coverage,provisional
01260103,Fridhem,Huddinge,Stockholm,2026,2025,5.824283947445347,30.498773507767783,325,48,1223,117.021656,2009.202454,high_coverage,provisional
01260105,Vistaberg,Huddinge,Stockholm,2026,2025,7.648660073088668,32.49097472924188,374,76,1385,194.322311,2540.605925,high_coverage,provisional
01260106,Stuvsta centrum,Huddinge,Stockholm,2026,2025,9.876090551980807,34.822451317296675,240,64,873,179.704641,1819.592885,high_coverage,provisional
01260107,Myrängen-Högmora,Huddinge,Stockholm,2026,2025,10.499126488249825,31.76328502415459,432,94,1656,325.981593,3104.844897,high_coverage,provisional
01260108,Stuvsta gård,Huddinge,Stockholm,2026,2025,8.539392170891176,34.50164293537787,234,81,913,134.468019,1574.679044,high_coverage,provisional
01260109,Kynäs,Huddinge,Stockholm,2026,2025,7.401115071552508,28.125,310,77,1376,172.668351,2333.004545,high_coverage,provisional
01260110,Kvarnbergsplan,Huddinge,Stockholm,2026,2025,14.08564220867964,43.3849821215733,300,64,839,187.172374,1328.816757,high_coverage,provisional
01260116,Sörskogen,Huddinge,Stockholm,2026,2025,9.928039880871681,33.46613545816733,206,46,753,123.015026,1239.066598,high_coverage,provisional
01260117,Balingsnäs,Huddinge,Stockholm,2026,2025,7.10590591239762,32.28417266187051,311,48,1112,137.91453,1940.843739,high_coverage,provisional
01260119,Segersminne,Huddinge,Stockholm,2026,2025,6.581338793390154,34.26966292134831,248,57,890,72.512838,1101.794639,high_coverage,provisional
01260120,Stensängen,Huddinge,Stockholm,2026,2025,5.694799542245398,33.21799307958477,242,46,867,80.00805,1404.931805,high_coverage,provisional
